project_id,mutant_id,url1,url2,label
P0,86,86_orig,86_mut,0
P0,181,181_orig,181_mut,1
P0,39,39_orig,39_mut,0
P0,168,168_orig,168_mut,0
P0,87,87_orig,87_mut,1
P0,185,185_orig,185_mut,0
P0,40,40_orig,40_mut,0
P0,1,1_orig,1_mut,0
P0,71,71_orig,71_mut,0
P0,150,150_orig,150_mut,0
P0,114,114_orig,114_mut,1
P0,56,56_orig,56_mut,0
P0,107,107_orig,107_mut,0
P0,191,191_orig,191_mut,0
P0,166,166_orig,166_mut,0
P0,50,50_orig,50_mut,0
P0,143,143_orig,143_mut,0
P0,197,197_orig,197_mut,0
P0,154,154_orig,154_mut,0
P0,129,129_orig,129_mut,0
